,reviews
572,"✅ Trip Verified | Flight to Milwaukee was delayed multiple times for several hours and eventually canceled. I understand things happen and was not initially that upset about the cancelation even though it resulted in me having to sleep on the ground in the airport for 5 hours. My return flight which was 4 days later, was also canceled within hours of departure. This flight was rescheduled for the following day. I have lost all confidence in American Airlines and will avoid flying with them in the future."
573,"✅ Trip Verified |  I will never fly with this airline again. On 7/16, my husband and I were returning from a very much needed vacation from Montego Bay Jamaica and had a connecting flight from MIA to Boston. Upon the flight being delayed 4 times they eventually cancelled the flight all together leaving us confused because this is the first time we've experienced this issue. Lady at the desk told us to rebook at gate 14 so my husband and everyone else went to gate 14 only to find out we were in the wrong place. After waiting 3 hours in line we found out there would be no more flights from MIA to Boston until 2 days later. Both my husband and I were expected to return to work the following day yet now we are stuck in FL for 2 additional days. I went to another gate that had just boarded near by, a flight going to Rio de Janeiro, to ask if they knew where we could find our luggage and to my shock the 2 women behind the desk were talking trash about the people waiting in the now 5 hour line to rebook cancelled flights. I stood there as the 2 employees spoke to each other saying how the people standing in line are ""stupid because they are wasting their time because customer service wont help them"" and laughed about how they would be going home soon after their shifts. Upset I approached the woman behind the desk and let her know that I was one of the people standing in line and looked at me wide eyed as the other employee walked away I asked her if she could do something besides speaking on people she doesn't know and tell me where I can locate my luggage. She told me I would have to go elsewhere to baggage customer service and ask them and told me to please be patient and I replied just like I was now when she felt the need to make fun of people she doesn't know. I walked away and my husband and I went downstairs to find the baggage customer service and after waiting in line yet again for an hour, another employee walked over to tell everyone in line that we are wasting our time. He announced that all the baggage from the canceled flights were in back and no one is going through them because it's too many luggage to go through. Everyone in line became very upset, some yelling at the employee asking what he meant. One man lost his mind telling the baggage guy that the people from upstairs sent him down here for his bags and the baggage guy told him that they only do ticketing and we do baggage and said they don't know what their talking about and no one from the canceled flights would be getting their bags. Angry I went up to the desk to ask if there was anyway possible to retrieve our luggage, we will now be in FL for 2 days without clothes and bags. Also 5mths pregnant, all of my clothes and other things were in my luggage. The lady at the desk told us she had no idea where our luggage is but she would put some note into the system so me and my husband would be able to pick up our luggage at the customer service desk in the morning. Upon searching for hotels for the night as I am pregnant and refused to sleep in the airport and of course everywhere near the airport was booked up. We found a hotel by luck and got there after 5am the next morning 3 more hours later after using Uber to get around town looking for available rooms. Next morning we went back to baggage only to find out the girls note was overridden and our bags were now in Boston so we had no luggage. How are we to be compensated for all the time and money lost dealing with the AA employees?"
574,"Not Verified |  My flight was scheduled to leave at 7:17 am. Since I am supposed to get to the airport 1.5-2 hours before the flight, I was up early and arrived at 5:15am. At 5:36 am I received a notification from American that this flight was delayed until 9:45am because of ""logistical issues"". As a result I missed my connecting flight. I was supposed to get into Little Rock for 11:15am and now have a connecting flight putting me in little rock for 8:26pm. Having read the reviews on American Airlines before booking this flight, I should have heeded the warnings. Lesson learned! Wanted to give American Airlines a chance to prove the reviews wrong. I was wrong, American lives up to its subpar reviews. Because of ""logistical issues"" rearrange my transportation, reservations and housing. I have never flown American before and will never fly them again.  I tried to call American Airlines and was on hold for 36 minutes. Never got to talk to a person.  I fly 6 times a year on average, United, Delta, Jet Blue have been seamless. American is in the bottom tier for a reason, great way to put yourself out of business."
575,"Not Verified |  After delaying our flight for 2 hours, we boarded and then sat on the tarmac for another hour. They then decided to go back to the airport. Waited another 2 hours, boarded again, came off again. This happened 3 times. By 10pm (flight was supposed to leave at 6.15pm), so by this time I knew I missed my connecting flights back to Australia. They decided the Tyre needed replacing. No help with organizing another flight for me (4 flights in total to get back to Australia). No offer of accommodation or food. All I got was “connecting flights will be same tomorrow”, no new boarding passes issued, nothing. Got kicked out of the main airport area at 11pm, so was stuck in the foyer area from 11pm to 6am. At that time I contacted my travel agent to make sure they had me on the next flight, and they didn’t, she lied to me. So I had to try and find a hotel that would take me at 6am in the morning. The hotel that took me is another story. Desperate times call for desperate measures. My travel agent ended up booking my flights 2 days later, no thanks to American Airlines. (Oh, and they also lost my sons bag for 2 weeks, he only had the clothes he was wearing all that time). Got to the airport and funnily enough the same lady that lied to me served me at checkin. “Oh I feel so sorry for you, I’m going to give you an exit row seat on your 1st flight”, she said - little did she know I had paid for the exit row seat just hours before anyway, so it was already my seat. So she lied yet again, pretending to do me a favor! So all in all my son was without everything for 2 weeks, they cancelled my flights twice, no accommodation or food offer, no rescheduling my flights after lying to me saying they were, and it’s been 5 weeks and I’m still trying to get compensated for the Uber costs to and from the hotel, food and accommodation that I had to organise, 1 day of work that I missed. The thing that struck me though, was the complete lack of empathy, they did not care less."
576,"Not Verified |  The flight from Boston to Indianapolis with my partner was not bad, but come back was just miserable all around. I have had several bad experiences with American Airlines on both domestic and international flights in the past; old, dirty planes, lack of any inflight entertainment (other than old drop down ancient TVs from what-appears-to-be from the 1960s), inadequate leg room, etc. But the last few times I have flown with them, it was not too bad and the planes were better; cleaner, etc. but I had one of those experiences again! It was like going back to 2011, 2012 with American! Not only was the plane my partner and I flew this time around; both on the flight to and from, old and decrepit (relatively clean, but extremely dated), there was hardly any legroom whatsoever.  This journey was made even more miserable because one of the flight attendants in the back of the plane was rude and dismissive when I had to get up and use the restroom. She told me to ""sit down because of turbulence"". There was no turbulence at that point. It got to the point where I waved up to another flight attendant at the front of the plane if I could use the restroom up there and he was very friendly and understanding and said I could ""but to make it quick before the turbulence"" and sure enough I was able to do so (it was also an emergency). He was so nice, and I was able to sit back down before the turbulence (which got pretty bad at one point), but the other female flight crew member denying me access to the restroom when there was not any turbulence at one point was rude and unprofessional. I will do everything in my will power to avoid American Airlines at all costs going forward. "
577,Not Verified |  American airlines delayed our flight 5 times in a matter of hours due to personnel issues. This caused us to miss our connecting flight. They wanted to rebook us on a flight 2 days later. It took me 6 hours to get an answer as to why this was happening and find a new way home which was $2000. When I emailed customer relations (no one would speak on the phone) they offered me a $25 travel credit. This doesn't even cover 1 ticket. I don't recommend American airlines.
578,"Not Verified |  American has literally managed to screw every one of my family members on three separate occasions. They delay for no reason. And when they delay, it is so excessive that connecting flights are missed. Do not fly American, you will regret it. It cost me $830 to rebook with another airline. I only got a refund of $300. Worst experience ever. My son is now going to be stuck in New York because of their stupid delays."
579,"Not Verified |  A horrible experience and even worse customer relations after the fact. My most recent flight with American Airlines was delayed by 17 hours and customer relations refuses to give me a refund. I was/am pregnant and was traveling with my 18 month old son. Our layover between flights was supposed to be only 1 hour and turned into a stressful, exhausting 17 hour delay. We waited until 1 am at our gate when we were told to change terminals entirely to go to different gate. After waiting an hour more at this new gate, American Airlines canceled the flight entirely for that night. We were given an $11 meal voucher and told to “book our own hotels” and American would reimburse us. Finally at 4 in the morning I was able to get my 18 month old son to sleep at a hotel we had to book and get an Uber to with no help from American. We only were able to stay for 4 hours before heading back to the airport. When we got back our flight was delayed again. We boarded a plane, we’re told to get off and change planes and wait. It was so tiring and during this time no more meal vouchers were offered so I was paying for everything out of pocket. I missed two days of work because of this fiasco. Since this trip from hell, I have been contacting American Airlines and offered no refunds or compensation. The only thing I was given was a $25 credit for my next flight. No I am not kidding. $25! Not even a refund for the hotel they promised to pay for! I quite literally lost over a thousand dollars because of this flight and I do not have that kind of money. Absolutely the worst experience ever. I am so disappointed in American Airlines and would recommend that people fly with literally ANY other airline."
580,"✅ Trip Verified | American Airlines itself is a decent airline, but the fact that approx. 5 - 7% of their flights are direct flights is a capital crime. Almost every trip requires a connection, with about 85 - 90% of those connections being in Charlotte. It is kind of funny that lot of the budget airlines, like Spirit & Frontier among others offer a majority of direct travel all across Canada & The US. How is American Airlines not jumping on this. Honestly, a stopover is not bad, especially if you love flying, like I do. However with American, a stopover is a bittersweet thing. Firstly, a stopover could be anywhere 40 minutes to 1 hour. Hearing that you initially think ""OK, not bad at all"" then you have your first flight delayed for a bogus reason, rendering your connection pointless, which is frustrating. Frustration increases usually because with American Airlines, your first flight will be an evening flight, and after the delay, you get to your connection 1 hour late if not more, and you have to stay all night in the airport to get your connecting flight first thing in the morning. Yay! If you are lucky to get a representative at a ticket booth, which will be few & far between if that, you will be given some sort of miss-information in regards to why your flight was delayed. After finding out that upgrading my seat from aisle to window, would be $54, US as well. That's fun! American Airlines screws up and still wants to charge for trying to rectify the situation. Like us customer are the inconvenience. After saying no, I actually had a representative tell me ""You can certainly book a flight with United"" what kind of answer is that. Your airline messes up and your advice is have a customer pay more money with a different airline. Alright then! WiFi on American is not the best either, unless you are a Xfinity or Verizon member. If not, don't expect any internet access besides the American Airlines site allowing you to check other American Airlines flights to see your connecting flight is on time and knowing you will miss it. Prices for WiFi on the airline range from $15 - $20, just to use the WiFi on 1 device only. Oh Joy! I do realize airlines screw up sometimes, it's a part of travel. The whole ""it's about the journey, not the destination"" thing. However, at least have the decency to be honest with customers about what is going on and try to accommodate them. The very least you can do is try to keep the customer. At least with your own airline. As much as I love flying, a direct flight is certainly better than this headache I endured. American, please get your stuff together. Remember, you are not the only airline in the skies. Simply put, I almost missed a friend's wedding because of the American Airlines headache."
581,"✅ Trip Verified |  Flight from OAJ was delayed by an hour due to bad weather (which is understandable) departed at 7pm, didn't get to CLT until 8:10 pm, CLT is huge and it takes like 15 minutes to get to my gate, causing me to miss my connecting flight to BWI at 8:28 pm. But I managed to arrive 2 minutes left at B9. However, I was notified that my gate changed to B12. It's 8:29, so I run over and now the door to my connecting flight is closed. Too late to board. Gate agent couldn't help me, so I was directed to AA Customer Service, which took 2 hours to wait in line. Waited in line, and on the phone for an hour. I couldn't get a flight change on the phone, luckily I was near the end and got told that my flight was actually delayed? But it literally left when I arrived. Then was told that I was checked in, meaning someone was checked in with my seat before I arrived late. That I paid for. Odd. Finally I got another flight which was delayed by an hour. It took 5 hours to get me home. This was my first AA mishap, and it was trying to say the least."
582,Not Verified |  Mellisa from American Airlines is the one who saved a summer vacation for her diligent and quick efforts to save our flight which was cancelled at the last minute. She’s the hero to 3 kids who will have a blast and will experience memories that will last a lifetime. That’s sometimes all it takes. Doing the part that we’re meant to do and doing it with heart. She was on the check in counter 7/20-2023 at 6am.
583,"✅ Trip Verified | My family's flight was canceled an hour before it was scheduled to take off. We were rerouted to an airport 90 minutes away from our final destination. At no point did American Airlines try to get us all the way home. They left us stranded at the airport with no way home other than to rent a car and pay out of pocket to drive home. When I asked for a reimbursement, they absolutely refused. They claimed they can't reimburse people based on weather cancelations. I told them this wasn't about the weather cancelation, it was about them stranding us at an airport 90 minutes away from our final destination and not reimbursing us for having to get ourselves all of the way home. I will never fly this airline again and, if you're smart, you won't either."
584,"✅ Trip Verified | First off, I paid for a first class ticket! A lot of money! I fly monthly and I always fly first class. When I got to the airport I went to scan my e-ticket which clearly showed I have a first class seat. The machine said I was too late to check luggage. It didn’t make sense. I was 2 hours early. A very nice woman helped me and she fixed it and checked my luggage. And I got my luggage tickets and my luggage was marked priority. When I went to check in at the gate I was told to step aside. A female agent said the ticket not in the system despite my having my boarding pass. So she asked a male agent to assist me. He was extremely mean and rude. He said I wasn’t on the flight. I showed him my confirmation email, my e-ticket that showed my seat number and he said it didn’t matter. I don’t exist in in the system. He then assigned me a new seat in economy. I told him I paid for a first class ticket. He said you didn’t tell me that. Ask for a refund. Had he actually looked at my ticket he would’ve seen that I was first class. I didn’t want to make scene so I moved on. When I passed through the first class cabin my seat was empty. I do not know if it filled after, but I was one of the last ones on the plane. I imagine it went empty. I probably should have just showed my e ticket and I could have sat down, but honestly I was so taken back by the way I was just treated I wasn’t thinking. I have sent an email to my travel agent to ask her how I can get a refund of the difference. I fly first class because I fly frequently and it helps me to me rested for important meetings. I spend a lot of my hard earned money. I was treated horribly by the agent at the gate. I do not tolerate that behavior and do not reward it with further business. I can tell you, I will absolutely never fly American Airlines ever again and I will never recommend them to any body ever again based on my experience on this particular trip. I don’t appreciate being treated so badly. There was no cause for him to be this way, other than he enjoyed pushing his weight around. So American Airlines, you lost a customer."
585,Not Verified |  First off I agree I could’ve better planned on my end. But I spent 10 hours at the airport to basically find my own solution. 3 visits to the customer service line and 2 phone calls before I decided this is ridiculous. My first flight out I missed by 5 mins even though I watched them give other stand by people my seat. There was a bad storm that delayed everyone. I was put on stand by 3 times before I’m like no this can not be the solution. My 3rd visit to customer service was met with limited reps and basically the last rep showing no empathy after I’ve been running around the entire airport for 7 hours just to get oh no the flight is overbooked. I ended up just purchasing a new ticket through JetBlue and let my anxiety not get the best of me. The reason I missed my flight is because pre-check took 40 mins to get through. No one had a sense of urgency. 10 people missed my flight so don’t you think that’s a big issue. I get it if it was only me but 10. The same people running from flight to flight. American wanted to wait on standby until the next day. I'm on a business trip for work there is no next business day. I'm just upset that it took so much time waiting to get no resolution and then me deciding to take my fate into my own hand where it got resolved. I will be calling American to get a travel credit after the amount they screwed me over. I’ll better plan my trip next time but American get better and treat your customers right. There was over 50 standby at one point. Y’all need to think of a better solution.
586,"Not Verified |  I don't often complain, however, I've noticed a trend with American Airlines always delayed, canceled or changes. I've purchased our tickets months ago only to be downgraded to a class that I've worked hard to pay for. I understand there are other customers in worse situations, however if it had only been a one time thing, I would've not bothered but I've tried a few more times after and have been completely disappointed. My fault for expecting to get what I pay for with this airline. This will most certainly be the last time we give our business to American Airlines. Disappointed."
587,✅ Trip Verified |  This was the worst experience I ever had at the airport. I missed my flight due to the negligence of the customer ice agent. When I complained about the service the agent was very disrespectful. I waited over an hour to see a manager. So I canceled my flight and booked with Delta. The experience with Delta was great. My company will never use this airline. 
588,"Not Verified | Trying to return home from our honeymoon and our first flight was delayed, but so was our second one from Charlotte to Cincinnati so we made it in time. While in line we heard them give my husbands seat to a passenger in front of us, when scanning our boarding passes they didn’t work, but our checked bags scanned? While in line for customer support (which was forever long) we were the next people in line and a worker pulled two groups to go to a gate worker to get the line down. We said no we wanted to stay, we were next in line. He told us we had to so another 2 hours later we are still in line at the gate and the gate worker had no clue what he was doing. So I went back and stood in line again at customer service. I made it to the front again before my husband moved so I called him to come back over. At the gate the worker would not look up where another customers bag was because they said over and over again that if you don’t make it on a flight neither does your bag. So at customer service we were very nice in which we did not get in return. Asked us why we didn’t know what flight we were on? Told us they rebooked us for 6 pm the next day. There were no hotels, no rental cars. So our only option was to stay at the airport for close to 20hrs. With no solution or compensation or anything. We then asked her if she could check where our bags were, in which she told us that if we didn’t get on the flight neither did our bags. We asked again if she could just check. So she did and was very annoyed about it and sure enough, our bags were on the flight without us. We asked how that happened, then another customer service representative said we have no idea you’re not talking to the right people about that? Who else would we talk to about that? Would not recommend flying this company to anyone."
589,Not Verified | This airline blows. Delay after delay after delay. All over a stewardess. Get me on a plane. I will never fly this thing again. Know so many people that work here but we’ve got delayed on all 4 of the flights and they lost our baggage going into Mexico. Absolute shame of a business for one of “the biggest and best”.
590,"Not Verified | American Airlines you no longer exist in my world. My parents 50th anniversary was a magical event! The Common Man Restaurant was amazing and Courtney was a delight but back to American Airlines. Cancelled my parents flight 15 minutes before it was due to leave! The call to customer service was awful they would not pass the call to a supervisor, nor would they compensate my parents for the serious issues they created. They were told this is a personal problem! The best they can do a flight Tuesday night! My parents car is in parking racking up the bill, their dogs are being boarded at a substantial cost, and the customer service person would not identify herself - she didn’t feel comfortable! As they say, no way to run an airline! American Airlines, way to ruin a wonderful occasion!"
591,"Not Verified |  Absolutely rubbish customer service. From beginning to end flight attendants were disinterested, rushed, unorganised and totally focused on doing as little as possible. Food was borderline inedible and unacceptable for a route of that length. Seat is uncomfortable and cramped. This airline should not be able to codeshare with other oneworld partners as they don’t even come close to their levels of service. I would never use them again."
592,"✅ Trip Verified | Overall, it was a terrible experience. My flight was originally scheduled for 10:40pm, but then it was delayed to midnight, a few minutes later it was delayed to 12:30, then 4:00am, and finally 7:30am. By the time we were made aware that the flight was going to leave in the morning, it no longer made logical sense to take a hotel voucher because by the time you would have made it to the hotel, you would have to leave an hour later to make it through TSA, so almost everyone on my flight decided to spend the night at the airport. In return, customer service representatives gave us $12 food vouchers. This is unacceptable. Not to mention, the customer service representatives were in a terrible mood and I do not blame them. They deserve better than having to tell a hundred angry customers back to back that all they can do is give a $12 food voucher. I am disappointed and will not be flying with American again. It is in your best interest to do the same."
593,Not Verified | This airline is poor when it comes to accountability for making people miss their flights I wouldn't ever suggest American for business trips or anything that you have a specific time to be there. We had to sit for 45 minutes for some unknown reason before we were able to get off which caused several people to miss their flights. I missed my flight and the only available flight for my destination is the following day in the evening so now I've lost an important client because the gates were closed and I wasn't allowed to board. American need to have all their employees communicate so things like this won't happen.
594,"✅ Trip Verified |  Let's start with the fact that we boarded the flight in Charlotte and then told the flight was canceled. No instructions on what to do. They gave our plane to the people going to Syracuse because their plane had mechanical problems. Finally I was told to go to airline services where the line was almost 100 yards long. I went to another terminal and they didn't have any flights to Albany, NY. Now I have to spend the night in the airport because they won't put me in a hotel for the night. Next flight is in the morning but I have to go to Washington DC and another 4 hour layover. While sitting here they boarded people onto a plane without interior lights only to make them get off again. Several flights had to switch gates so people are going every which way."
595,"✅ Trip Verified | Me and my wife landed in Dallas to connect with our plane to College Station. We were desperate to see our daughter who just got out of the hospital the day before. Because we were unable to deboard (gate not open?) we ran to the connecting gate (actually took the airport train) only to find out that they moved the gate. We took the train back and arrived to the now correct gate 8 minutes before take-off and were not allowed to get on our 4:50pm flight, We went to American customer service and were told the next flight was after 10 pm and that it had no seats left. Agent gave us two standby passes and said we would not know if we can get on unless two people sis not show up or cancelled and we would not know until 10 pm until the after 10 pm. I asked 'what do we do if we do not get on this plane?' Well we were told we can apply to get a hotel room. Mind you I am 70 years old and dog tired from being at the Nashville Airport for leg one of our journey at 8am that morning, We could wait until after 10pm if we knew we had a seat but not just to be told we were denied. We had to see our daughter! I took an Uber to College Station and the Uber driver drove us over an extra 100 miles to charge us more, which was not the original route or price. I am dealing with that. I called American to see if we could get reimbursed and was told that the I should of gotten on the 10:00 pm flight as there Were 5 SEATS! The agent lied to us! I am very disappointed at American and their shoddy customer service."
596,"✅ Trip Verified |  Flight was delayed on top of a 4 hour layover to the point where I missed my flight home and the next flight had to be the next time. That was after switching us from our first class ticket to economy, which means our plans for the evening meal were completely ruined. A 12 dollar meal voucher doesn't really cut it. Also, on the flight in the in flight meal sucked anyway. Like, some of the worst food I've been subjected to in a while. I'm never voluntarily flying American again in the future. All in all a horrible experience."
597,"✅ Trip Verified |  American Airlines customer service sucks. While booking my tickets for 4 passengers (4 months before travel) and per baggage policy in American Airlines as well as in their codeshare, I had first free checked bag per passenger. I got the first free checked bag per passenger in my outbound flights. But then in the inbound flights, Qatar didn't allow a free checked bag. Qatar tells me “American re-issued the tickets on 5th Jul (just 4 days before the actual inbound travel) and removed free checked bag, and thus they had to charge me.” After multiple follow ups with American Airlines customer relations, they are not even ready to tell me why they did re-issue the tickets on 5th Jul (booking was done in Feb), and why did they remove free checked bag in the re-issued ticket on 5th Jul.  American Airlines is not even ready to deeply look into what went wrong in their system/process, and not ready to refund ($420 charged total for 4 checked in bags for 4 passengers). Absolutely 100% sure mistake of American Airlines, and still not willing to give it a serious consideration. I am done with American Airlines."
598,"Not Verified |  Every time I fly American Airlines there is always a delay. This time we sat on plane waiting to take off for 2 hrs. Missing our connecting flight in Dallas. This airline does not care about its passengers, they don’t care about safety or if you miss your flight e aisles of there technical issues. If one flight is late and there is a lot of people on the delayed flight for connecting flight, they should wait for the passenger.  Their service is low budget. They’re unorganized and unpredictable. Take your money to Delta or Southwest. Never flying with them again in my life. Ruined our Trip. Now we have to sleep in the airport. "
599,"✅ Trip Verified | My luggage had an air tag in it. I took a photo as it was being checked in. My luggage was checked through from Chiang Mai to JFK. When I arrived at JFK, one of my bags was missing so I filled out the paperwork. My air tag said that my suitcase was in Doha but the agent insisted that it was still in Bangkok. She refused to make note of this and was not interested in a photo of my luggage. So….time passed, I called again as my luggage was still in Doha after several days. She still insisted that it was in Bangkok. Then my luggage traveled to JFK, Terminal 8 — right next to Dunkin Donuts but… she still insisted that it was in Bangkok. If she opened her eyes, it was likely right in her office. After several more days, it traveled to Newark and she still insisted it was in Bangkok. This morning it arrived at the Syracuse airport and eventually at my home by FedEx. But, no one ever notified me that my luggage was found and that it was being delivered. American Airlines systems are broken and their personnel are poorly trained. Last year, they refused to let 25+ people board the plane in Doha because we were about 10 minutes late arriving but the plane did not depart for over 2 hours causing all of these people to be rebooked. American Airline is part of the problem instead of being part of the solution. Avoid flying with them whenever possible!"
600,"Not Verified |  I will never fly American again. Supposed to take off at 9 and here we are still sitting at 10.15. This is after we had to taxi all the way back to the gate because they forgot the log book. Kept us sitting for at least 30 minutes with no updates until we're told the pilots are over their flight hours and now we have to wait for another crew. Shouldn't that have been figured out ahead of time. Not to mention American took away mine and my husband's seats and made us pick new ones that we couldn't even sit together. The only explanation offered was maybe it was a flight swap. So like I said, never again will I fly this incompetent airline and will warning others to do the same. I understand things happen but this seems like major human error that could have been avoided instead of at the inconvenience of numerous passengers."
601,"Not Verified |  The customer service at the gate in Atlanta GA on flight AA 2591/02 going to Miami July 2nd around 1:00 was so horrible I don’t know how they have a job there. I have worked in customer service for 15 years and I have never in my life spoke to a customer in the manner this lady spoke to myself my husband and my two children. She was extremely rude and her comments were unnecessary. We were flying standby. Once boarding started, I walked to the counter to see if any standby tickets had been cleared. She said no. So I proceeded to step to the side and continue my phone call with Carnival cruise line to let them know we are arriving late. Not even 3 minutes later my family is calling my name for us to board. As we were gathering our belongings and walking up to the boarding gate she yells to me and my family, y’all moving pretty slow to be on standby, and says to me you was just up here asking if you were cleared but you taking your time. She made my 7 and 12 year old very uncomfortable when she made those remarks. It takes a lot to upset me but she pushed that button so quickly and doesn’t deserve her job with AA."
602,Not Verified | Very bad experience as usual. Delay in departing from Buffalo airport. The airplane was overweight so we have to wait for 2 passengers to give up their seats. Also arrived at Chicago airport and have to wait almost 2 hours to get off the airplane.
603,"✅ Trip Verified |  Flew to DFW from Vancouver one way after attending a wedding. No delays on inbound flight. The flight was smooth with very little turbulence encountered. Kudos to American Airlines flight crew. They were polite and friendly. Premium Economy seat had enough legroom for a comfortable flight. Service is typical (biscotti, snack and soft drinks) of all domestic flights. American does a pretty good job of getting you were you want on their domestic and trans border flights."
604,✅ Trip Verified | American gave away aircraft twice and now no pilot! Incremental delays keep you chasing updates and gate changes. We are 4 hours in and still no hope. Spending 24 hrs to cross country. They will blame weather but they are giving aircraft to other routes. Most worthless customer service ever. Chatbot will provide platitudes
605,"Not Verified | My son's connecting flight got delayed by 2 hours not including the time he would already be layed over so I called and spoke to a man who was so helpful and very quick about it. I couldn't be happier with their services. Don't get me wrong, we always fly American as they have always been good to us but today went above and beyond to help us without any problems at all. Thank you American airlines."
606,"Not Verified |  AA's plane malfunctioned and caused a half-hour delay, causing us to miss our connector in Heathrow. They didn't communicate anything to us, and automatically rebooked us for a much later flight that night. They did nothing to reimburse us for our ruined first day of vacation, the missed reservations, and attempted to not even reimburse the food we had to get from the airport. They jerked us around for over a month before answering one of our complaints, and then toyed with us for over a month before blocking further communication with us. Do. Not. Fly. American."
607,"Not Verified |  This is the worst experience. I paid good money to have aisle seats and because our flight was canceled for no known reason, we were bumped to middle seats. I did not pick middle seats for a reason. I paid to have aisle seats and should gave had seats changed to the exact same choice. I doubt I will fly American again. This is the third time we have been screwed by American. "
608,"Not Verified |  Delayed 3 hours out of CVG, heard 3 different explanations of why, including a pilot shortage (from our pilot). Missed our layover in PHL because every American Airlines employee we spoke to refused to help us. Forced to spend the night in Philadelphia because the next plane wasn't until the morning. American Airlines refused to take responsibility for our missed flight so we had to pay for the hotel ourselves. Filed a complaint to the compensation department and they gave me a laughable $25 flight credit. I will never fly American Airlines again and I will be telling all my friends and family of my experience as well. When we asked for help making our connection, the only thing the desk agent said was ""American Airlines is aware of all connecting flights"" instead of offering any kind of help whatsoever. Missed the connection by 2 minutes because the gate was not held open or reopened for us even though the plane was still at the gate upon our arrival. Literally any assistance from anybody could have avoided this whole scenario."
609,"✅ Trip Verified |  I booked a flight with American Airlines (first time) as it offered a good price although the operating airlines were known for their bad service. But we decided to trust American Airlines. Well, after a sudden change of plans, I called the not-so-American airlines to cancel the tickets, and was ready for penalties, etc. ... but they offered me a 12 months credit. Ok, sounds nice, United airlines does it, Air France does it. But here is the trick: the 12 months countdown starts the day of the booking. As if it wasn't enough, each ticket will be credited separately, and only the name on that ticket credited can use the credit.  I will update my review when / If we use the credit they issued to each one of us, for the onboard service quality. Till then, American Airlines should live up to the name or fold."
610,"✅ Trip Verified |  AA 1289 was scheduled to depart JFK for BDA at 7:05 am on July 3. Some of the vacationers, many with small children, got up at 3am to catch this flight. We finally departed after 9 pm — after more than 14 hours, with no explanation, no apologies and no recompense. There were several aborted reschedulings in the interim. At one of them, the flight crew actually boarded, only to deplane 20 minutes later. They explained to the anxious crowd around the podium that there was a maintenance problem with the auxiliary power unit. So, during one of the busiest travel times of the year, at one of AA’s principal hubs, they didn’t have the wherewithal — parts and/or expertise — to make this repair. In other words, this terrible experience was 100% due to AA’s incompetence. Meanwhile, we got closer and closer in time to predicted, severe thunderstorms, raising the suspicion that AA was hoping nature would let them off the hook for canceling the flight. Finally, AA put us on substitute equipment, 3 hours after it arrived from CLT. I’ve been flying AA for 50 years and have 1.6 million miles. This was the worst customer service fiasco in that span."
611,"Not Verified |  I was originally booked to fly out on 7/7/23. I had paid for main cabin tickets, as well as for a seat with extra leg room, complementary alcohol, and a free checked bag (both ways). Within 24hrs I had to change my flight to the next day and was charged $57 for change in ticket price. The person I spoke with assured me the ticket change was equivalent with all the amenities I had purchased with the first ticket. At some point in time, American airlines changed my first flight to jet blue. When trying to check in for my flight tomorrow, I discovered that I was downgraded to coach and now have to pay again for extra leg room and I have to pay $30 to check a bag. Essentially I paid for something I am now not getting. This is simply unacceptable. I may never fly American again."
612,"Not Verified |  Worst flight experience to date. Flight kept getting moved all over then delay for 5 hours until they pushed it to the next morning. After that everyone had to stand in line for over 2 hours to get vouchers for a hotel and food, but the food voucher could barely afford a kids meal at the hotel. Hotel was the only option for food since all of the restaurants and shops were closed. Employees were yelling at customers who have been getting the run around for over 5 hours. No one answered any questions on how to use the vouchers nor did they do anything to speed along the process of giving out the vouchers. Ended up getting the run around for so long I just booked a different flight since they weren’t really doing anything to fix the issue aside from making everyone wait even longer for a vouchers that they hardly can use. Only customer service that gets made at you for you being upset and their bad service."
613,✅ Trip Verified |  The flight took off on time. Food was okay. Water and other cold beverages were offered several times during the flight. They also collected the trash couple of times after each service. Ice cream cup was served in the middle of the flight. Snack before arrival was so so. The seats are okay. On board entertainment - I had trouble finding something interesting to watch. This was return flight. To point out the food on outbound flight was horrible - especially the dinner- inedible mess.
614,✅ Trip Verified |  By far the worst airline in existence. Flights are constantly delayed and customer service is a joke! If you are reading this review. I beg you to learn from series of unfortunate events and avoid this airline at all cost
615,"✅ Trip Verified |  I purchased round-trip tickets for a vacation about 7 months in advance. Within three months, they had changed both my flight to the destination, and back home. The latter was a significant change, adding 5 hours of travel time (60% longer than originally planned) and disrupting plans both before and after the flight. I called to get a refund based on their cancellation of my original flight and putting me on an unsatisfactory alternative, and was told to file a particular form and I would get a refund on the original payment method within a couple weeks, so to just buy alternative flights that worked better. I followed these directions, but two weeks later, was told that my “refund” would be in flight credits, rather than the original payment method. This violates both their agent’s instructions AND Department of Transportation regulations. Yet, after multiple phone calls and email exchanges, I have been told that there is no possibility of receiving an actual refund. As I followed directions and immediately purchased new tickets, the flight credits are worthless to me — they essentially duped me into paying double for my tickets and are unwilling to do anything to resolve the situation. It has been a significant waste of my time, and I am furious at the lack of respect from their customer service team. I have no intention of flying American Airlines again."
